# x1 x2 x3 x4
# 5133 4
# 5133 4
 0.00000000e+00  0.00000000e+00  4.00000000e+00  1.00000000e+00
 1.20000000e+01  0.00000000e+00  4.00000000e+00  1.00000000e+00
 6.00000000e+00  1.03923048e+01  4.00000000e+00  1.00000000e+00
-6.00000000e+00  1.03923048e+01  4.00000000e+00  1.00000000e+00
-1.20000000e+01  1.46957616e-15  4.00000000e+00  1.00000000e+00
-6.00000000e+00 -1.03923048e+01  4.00000000e+00  1.00000000e+00
 6.00000000e+00 -1.03923048e+01  4.00000000e+00  1.00000000e+00
 2.40000000e+01  0.00000000e+00  4.00000000e+00  1.00000000e+00
 2.07846097e+01  1.20000000e+01  4.00000000e+00  1.00000000e+00
 1.20000000e+01  2.07846097e+01  4.00000000e+00  1.00000000e+00
 1.46957616e-15  2.40000000e+01  4.00000000e+00  1.00000000e+00
-1.20000000e+01  2.07846097e+01  4.00000000e+00  1.00000000e+00
-2.07846097e+01  1.20000000e+01  4.00000000e+00  1.00000000e+00
-2.40000000e+01  2.93915232e-15  4.00000000e+00  1.00000000e+00
-2.07846097e+01 -1.20000000e+01  4.00000000e+00  1.00000000e+00
-1.20000000e+01 -2.07846097e+01  4.00000000e+00  1.00000000e+00
-4.40872848e-15 -2.40000000e+01  4.00000000e+00  1.00000000e+00
 1.20000000e+01 -2.07846097e+01  4.00000000e+00  1.00000000e+00
 2.07846097e+01 -1.20000000e+01  4.00000000e+00  1.00000000e+00
 3.60000000e+01  0.00000000e+00  4.00000000e+00  1.00000000e+00
 3.38289343e+01  1.23127252e+01  4.00000000e+00  1.00000000e+00
 2.75776000e+01  2.31403539e+01  4.00000000e+00  1.00000000e+00
 1.80000000e+01  3.11769145e+01  4.00000000e+00  1.00000000e+00
 6.25133440e+00  3.54530791e+01  4.00000000e+00  1.00000000e+00
-6.25133440e+00  3.54530791e+01  4.00000000e+00  1.00000000e+00
-1.80000000e+01  3.11769145e+01  4.00000000e+00  1.00000000e+00
-2.75776000e+01  2.31403539e+01  4.00000000e+00  1.00000000e+00
-3.38289343e+01  1.23127252e+01  4.00000000e+00  1.00000000e+00
-3.60000000e+01  4.40872848e-15  4.00000000e+00  1.00000000e+00
-3.38289343e+01 -1.23127252e+01  4.00000000e+00  1.00000000e+00
-2.75776000e+01 -2.31403539e+01  4.00000000e+00  1.00000000e+00
-1.80000000e+01 -3.11769145e+01  4.00000000e+00  1.00000000e+00
-6.25133440e+00 -3.54530791e+01  4.00000000e+00  1.00000000e+00
 6.25133440e+00 -3.54530791e+01  4.00000000e+00  1.00000000e+00
 1.80000000e+01 -3.11769145e+01  4.00000000e+00  1.00000000e+00
 2.75776000e+01 -2.31403539e+01  4.00000000e+00  1.00000000e+00
 3.38289343e+01 -1.23127252e+01  4.00000000e+00  1.00000000e+00
 4.80000000e+01  0.00000000e+00  4.00000000e+00  1.00000000e+00
 4.64919917e+01  1.19371146e+01  4.00000000e+00  1.00000000e+00
 4.20627206e+01  2.31241764e+01  4.00000000e+00  1.00000000e+00
 3.49904941e+01  3.28582611e+01  4.00000000e+00  1.00000000e+00
 2.57196862e+01  4.05277404e+01  4.00000000e+00  1.00000000e+00
 1.48328157e+01  4.56507128e+01  4.00000000e+00  1.00000000e+00
 3.01394494e+00  4.79052830e+01  4.00000000e+00  1.00000000e+00
-8.99430310e+00  4.71497880e+01  4.00000000e+00  1.00000000e+00
-2.04374060e+01  4.34316985e+01  4.00000000e+00  1.00000000e+00
-3.05963515e+01  3.69846357e+01  4.00000000e+00  1.00000000e+00
-3.88328157e+01  2.82136921e+01  4.00000000e+00  1.00000000e+00
-4.46292713e+01  1.76699785e+01  4.00000000e+00  1.00000000e+00
-4.76215057e+01  6.01599521e+00  4.00000000e+00  1.00000000e+00
-4.76215057e+01 -6.01599521e+00  4.00000000e+00  1.00000000e+00
